added_at,source_file,chunk_size,total_codes,random_code
2026-07-20 17:10:50,hypamzb2749.zip,300000,1000000,HYPAMZB2749CEQM7UN0
2026-07-21 15:37:41,hypamzb2749.zip,400000,1000000,HYPAMZB2749CL6A5ZJK
